a,n,num_liquidations,total_commission,short_profits,long_profits,profit
0.006,10,201,249.6,13294.32535,2076.666638,15121.39199
0.005,5,484,298.2,12843.14896,2572.356256,15117.30522
0.01,19,63,151.62,13148.74282,2115.512241,15112.63506
0.005,4,604,297.84,12981.63697,2416.911795,15100.70876
0.01,10,120,152.4,12575.76345,2675.99801,15099.36146
0.009,13,102,167.7,12737.14133,2485.047208,15054.48854
0.012,18,55,127.44,12281.55909,2887.08618,15041.20527
0.011,14,78,139.44,12420.495,2748.636646,15029.69164
0.014,13,65,109.98,12879.74418,2229.370787,14999.13496
0.005,18,133,295.92,13477.18505,1807.631507,14988.89656
0.008,11,135,186.78,12814.19039,2357.453118,14984.86351
0.009,10,132,166.8,12742.47985,2408.398243,14984.0781
0.006,11,181,246.84,13017.4067,2212.411081,14982.97778
0.008,19,78,185.82,13302.36207,1859.929,14976.47107
0.009,14,95,168,12468.28845,2673.77798,14974.06643
0.01,11,108,151.14,12517.29212,2576.517911,14942.67003
0.009,9,146,166.32,12647.9925,2441.687899,14923.36039
0.008,9,165,186.84,12452.23803,2650.782257,14916.18029
0.014,9,93,109.08,12470.10473,2521.922134,14882.94687
0.006,8,248,246.24,12493.69804,2626.538166,14873.99621
0.014,19,44,108.3,12310.68079,2658.357463,14860.73826
0.006,7,281,244.02,12806.07451,2248.301808,14810.35632
0.007,11,153,210.54,12786.03055,2232.967273,14808.45782
0.01,9,130,149.04,12635.4285,2307.230091,14793.61859
0.011,9,118,136.08,12606.17397,2315.700579,14785.79455
0.006,12,164,244.08,12452.74882,2575.576421,14784.24524
0.006,4,492,244.08,12573.82383,2444.201895,14773.94572
0.011,7,152,136.08,12589.94198,2315.987576,14769.84956
0.014,10,83,108,12687.96967,2175.801633,14755.7713
0.009,12,108,164.16,12611.44619,2285.048844,14732.33504
0.001,8,1595,1538.88,13753.95404,2514.839881,14729.91392
0.002,4,1510,732.48,13094.99224,2347.478366,14709.99061
0.001,5,2540,1531.8,13773.48252,2458.476734,14700.15926
0.012,10,97,124.8,12285.45236,2533.617059,14694.26942
0.013,9,99,115.56,12461.50743,2341.784822,14687.73225
0.007,12,139,208.8,12460.11142,2434.433813,14685.74524
0.014,14,59,107.52,12386.15436,2400.27971,14678.91407
0.003,4,989,482.4,12835.88911,2312.619703,14666.10881
0.009,19,68,163.02,12720.85418,2092.420112,14650.2543
0.013,10,89,115.2,12449.41482,2311.557976,14645.7728
0.01,16,73,148.8,11737.14878,3043.921584,14632.27037
0.011,16,66,135.36,12003.58985,2753.881697,14622.11155
0.004,4,735,360.72,12537.41919,2435.625436,14612.32463
0.01,18,64,146.88,12340.674,2405.904255,14599.69826
0.011,18,58,133.92,12084.89328,2646.494674,14597.46796
0.01,6,193,147.24,12255.52441,2477.531721,14585.81613
0.01,7,165,147,12466.99332,2263.361121,14583.35444
0.007,6,276,207,12420.29586,2345.592506,14558.88837
0.007,8,207,206.88,12447.578,2312.602599,14553.3006
0.009,6,214,162.36,12050.90326,2654.052256,14542.59552
0.008,13,111,181.74,12508.24854,2208.936094,14535.44463
0.001,9,1394,1513.08,13532.79532,2512.209515,14531.92484
0.011,8,131,133.92,12005.48713,2644.335797,14515.90293
0.006,5,387,240,12168.23356,2585.549129,14513.78269
0.008,8,180,180.96,12406.8787,2280.569283,14506.48799
0.003,17,230,477.36,12816.58686,2163.390681,14502.61754
0.012,8,120,123.36,11955.15166,2668.62147,14500.41313
0.006,9,214,239.22,12132.44972,2595.982806,14489.21253
0.01,13,88,145.86,12447.01836,2176.740156,14477.89851
0.009,16,80,162.24,11720.48688,2901.641059,14459.88794
0.006,6,320,238.32,12352.67963,2334.829337,14449.18897
0.008,5,287,180.3,12202.71117,2411.570214,14433.98138
0.009,7,182,161.28,12277.92729,2316.994182,14433.64147
0.013,19,46,112.86,12067.73946,2468.474793,14423.35425
0.008,6,239,180.36,12027.54239,2573.952514,14421.1349
0.001,10,1246,1503,13618.12011,2305.762698,14420.8828
0.011,6,173,132.84,12116.57039,2426.428655,14410.15905
0.004,3,964,354.6,12371.20001,2363.679369,14380.27938
0.002,17,349,720.12,12774.73521,2319.252702,14373.86792
0.013,16,55,114.24,11697.49563,2786.199547,14369.45518
0.001,19,648,1485.42,13922.10499,1929.655394,14366.34039
0.013,7,125,113.4,12051.22051,2426.044109,14363.86462
0.002,3,1969,716.22,12707.37492,2365.907997,14357.06292
0.006,3,635,236.34,12211.39094,2354.689066,14329.74
0.001,6,2062,1492.2,13483.77527,2328.80313,14320.3784
0.012,7,135,121.8,12099.78837,2334.42178,14312.41015
0.007,4,406,202.8,12168.76416,2313.638182,14279.60234
0.014,17,48,106.08,11460.35329,2914.142179,14268.41547
0.006,18,105,235.44,12807.69359,1686.067368,14258.32095
0.007,18,90,203.04,12627.20468,1827.867498,14252.03218
0.005,3,760,281.34,12175.19481,2348.991752,14242.84656
0.01,8,141,143.52,11976.11037,2403.959612,14236.54998
0.011,10,103,132,11668.64703,2694.806396,14231.45343
0.003,3,1281,468.72,12366.52766,2327.384289,14225.19195
0.013,14,62,112.56,11661.8374,2639.759854,14189.03726
0.007,7,230,201.18,12311.42763,2077.23669,14187.48432
0.011,11,93,131.34,11752.07779,2563.011707,14183.74949
0.008,7,201,176.82,12174.77682,2184.598644,14182.55546
0.009,8,156,157.92,12089.29426,2242.556306,14173.93057
0.01,5,225,143.1,11737.82423,2565.538515,14160.26275
0.014,11,73,104.94,11515.01667,2741.842168,14151.91883
0.012,19,49,120.84,11987.85697,2278.592145,14145.60911
0.012,11,85,120.78,11610.23494,2650.827952,14140.28289
0.014,8,100,104.16,11614.75554,2614.534749,14125.13029
0.009,5,248,156.9,11690.462,2511.372381,14044.93438
0.011,5,202,129.3,11699.75016,2451.729783,14022.17994
0.012,16,58,120,11562.05181,2571.876484,14013.92829
0.007,5,317,198.3,11796.25722,2345.761439,13943.71866
0.007,3,529,198.18,11732.52359,2394.305126,13928.64871
0.001,14,860,1452.36,12879.64671,2487.206536,13914.49325
0.009,4,307,155.52,11597.23372,2450.905914,13892.61963
0.013,8,106,109.92,11313.70702,2659.393394,13863.18041
0.008,4,344,173.28,11693.95999,2321.638724,13842.31871
0.008,12,114,172.8,11860.73519,2140.954038,13828.88923
0.01,4,274,139.68,11733.50077,2229.644788,13823.46556
0.001,11,1087,1442.76,12974.98959,2271.056369,13803.28596
0.001,12,1004,1453.68,12521.52143,2729.47536,13797.31679
0.009,3,404,153.36,11588.9628,2319.324966,13754.92777
0.012,6,151,117,11457.29987,2404.955917,13745.25579
0.008,3,455,171.54,11630.25669,2279.474536,13738.19122
0.008,18,76,172.8,11804.86947,2088.992129,13721.06159
0.014,7,111,101.22,11420.46968,2395.341041,13714.59072
0.012,5,181,116.7,11332.69681,2472.556796,13688.55361
0.013,6,139,108.36,11276.54576,2518.349757,13686.53552
0.014,5,155,101.1,11214.1106,2571.764282,13684.77488
0.013,11,76,108.9,11247.45047,2545.996309,13684.54678
0.005,2,1096,270.48,11665.55954,2281.996493,13677.07603
0.004,2,1373,336.72,11708.43159,2272.950448,13644.66203
0.001,4,2954,1425.6,12681.06505,2377.64044,13633.10549
0.011,4,245,125.76,11444.32827,2303.193213,13621.76148
0.01,3,360,137.52,11371.79892,2374.929288,13609.20821
0.009,18,67,153.36,11387.50813,2350.116178,13584.2643
0.011,3,325,124.92,11352.39089,2317.177843,13544.64873
0.012,14,64,115.92,11190.86973,2436.701417,13511.65115
0.006,2,898,222.96,11414.17565,2294.438704,13485.65435
0.003,2,1823,444.6,11600.1311,2316.869489,13472.40059
0.014,6,127,99.72,11039.35436,2527.045529,13466.67989
0.001,3,3868,1399.68,12549.60548,2265.968913,13415.8944
0.002,2,2753,667.8,11747.6645,2275.653305,13355.5178
0.014,4,188,98.16,11102.32225,2304.478422,13308.64067
0.012,3,292,113.04,11116.6634,2283.489558,13287.11296
0.014,3,250,97.74,10972.61992,2383.285199,13258.16512
0.013,3,269,104.76,10958.54913,2386.466379,13240.2555
0.011,19,50,123.12,11266.59861,2088.70943,13232.18804
0.007,2,751,187.68,11217.90735,2173.680183,13203.90753
0.013,4,201,104.4,10980.60232,2314.852287,13191.0546
0.001,17,667,1368.84,12413.63911,2091.71919,13136.5183
0.012,4,217,112.08,10948.13447,2299.026958,13135.08143
0.013,5,160,104.1,10823.51428,2388.676203,13108.09049
0.01,2,517,131.64,10855.74238,2297.036794,13021.13917
0.008,2,647,162.84,10950.484,2215.705138,13003.34914
0.009,2,572,144.84,10952.36044,2168.685899,12976.20634
0.011,2,461,118.32,10744.08983,2179.93788,12805.70771
0.001,2,5533,1335,11900.26137,2210.655465,12775.91684
0.012,2,414,106.92,10366.059,2270.735405,12529.8744
0.014,2,354,92.16,10299.91967,2305.081938,12512.84161
0.013,2,380,98.76,10378.27554,2197.867882,12477.38342
