a,n,num_liquidations,total_commission,profit
0.007,4.2,401,200.16,14083.27629
0.007,4.4,380,189.84,13374.30262
0.007,4.6,363,181.44,12771.32137
0.007,4.8,345,172.56,12126.88591
0.007,5,330,206.1,14500.05041
0.007,5.2,330,205.8,14510.60692
0.007,5.4,313,195.3,13759.8097
0.007,5.6,291,182.1,12790.78631
0.007,5.8,296,184.8,13030.19075
0.007,6,289,216.36,15207.3225
0.007,6.2,284,212.4,14989.50964
0.007,6.4,271,203.04,14288.11684
0.007,6.6,271,202.68,14278.64449
0.007,6.8,256,191.88,13478.62339
0.007,7,246,215.04,15091.80121
0.007,7.2,251,219.24,15397.51664
0.007,7.4,242,211.26,14822.22883
0.007,7.6,237,206.64,14512.29308
0.007,7.8,230,200.76,14095.82428
0.008,2,647,162.96,13006.4341
0.008,2.2,614,154.44,12332.82632
0.008,2.4,560,140.88,11252.02223
0.008,2.6,513,128.88,10322.72102
0.008,2.8,488,122.76,9816.5936
0.008,3,457,172.26,13791.03644
0.008,3.2,422,159.48,12742.35324
0.008,3.4,409,154.44,12336.7559
0.008,3.6,402,151.38,12119.3778
0.008,3.8,376,141.66,11334.8915
0.008,4,347,174.72,13966.43843
0.008,4.2,338,169.92,13593.18545
0.008,4.4,323,162.48,13015.43412
0.008,4.6,316,158.88,12707.99218
0.008,4.8,301,151.44,12116.65617
0.008,5,285,179.1,14338.208
0.008,5.2,284,178.2,14248.58058
0.008,5.4,277,174,13925.16782
0.008,5.6,262,164.7,13164.49716
0.008,5.8,254,159.6,12788.55458
0.008,6,241,181.8,14573.94793
0.008,6.2,238,179.64,14346.00287
0.008,6.4,233,175.68,14097.27162
0.008,6.6,226,170.28,13664.93493
0.008,6.8,219,165.24,13227.12767
0.008,7,210,184.8,14745.54277
0.008,7.2,215,189,15110.04481
0.008,7.4,211,185.22,14818.42209
0.008,7.6,205,179.76,14384.83567
0.008,7.8,191,168,13379.00231
0.009,2,580,146.88,13141.66013
0.009,2.2,528,133.8,11949.54357
0.009,2.4,484,122.76,10950.72479
0.009,2.6,450,113.76,10194.60589
0.009,2.8,423,107.16,9578.513094
0.009,3,405,153.72,13795.1581
0.009,3.2,376,142.74,12791.93145
0.009,3.4,357,135.72,12116.98247
0.009,3.6,349,132.3,11855.91574
0.009,3.8,319,121.14,10839.69766
0.009,4,301,152.64,13644.65509
0.009,4.2,308,155.52,13964.39317
0.009,4.4,286,144.72,12987.16704
0.009,4.6,268,135.84,12160.36388
0.009,4.8,259,131.28,11751.00528
0.009,5,249,157.5,14143.01669
0.009,5.2,241,152.7,13626.67053
0.009,5.4,243,153.3,13770.07422
0.009,5.6,228,144.3,12915.48316
0.009,5.8,220,139.2,12476.56149
0.009,6,215,163.08,14616.90065
0.009,6.2,202,153.72,13747.3142
0.009,6.4,199,151.2,13530.44867
0.009,6.6,199,150.84,13543.78524
0.009,6.8,188,142.92,12779.41797
0.009,7,187,165.48,14796.38939
0.009,7.2,183,162.12,14529.40563
0.009,7.4,181,160.02,14355.67549
0.009,7.6,175,154.98,13850.80328
0.009,7.8,163,144.48,12892.0785
0.01,2,519,132.24,13070.36238
0.01,2.2,475,121.2,11956.75798
0.01,2.4,443,112.92,11146.37529
0.01,2.6,408,103.8,10281.14428
0.01,2.8,376,95.88,9469.303976
0.01,3,357,136.62,13515.91345
0.01,3.2,340,129.96,12856.76039
0.01,3.4,320,122.4,12074.40867
0.01,3.6,307,117.18,11593.449
0.01,3.8,296,113.04,11213.55781
0.01,4,274,139.68,13795.49022
0.01,4.2,264,134.64,13312.53137
0.01,4.4,256,130.32,12913.96575
0.01,4.6,241,122.88,12150.67996
0.01,4.8,238,121.2,12000.78678
0.01,5,222,141.3,13990.4005
0.01,5.2,217,138.3,13660.01641
0.01,5.4,225,142.8,14182.87879
0.01,5.6,206,131.1,12952.56444
0.01,5.8,201,127.8,12664.65599
0.01,6,199,151.56,15026.79299
0.01,6.2,184,140.76,13932.34104
0.01,6.4,181,138.24,13717.83929
0.01,6.6,173,132.12,13062.7173
0.01,6.8,168,128.52,12691.7901
0.01,7,163,145.32,14347.89091
0.01,7.2,162,144.48,14294.82874
0.01,7.4,163,144.9,14366.1535
0.01,7.6,161,143.22,14204.06363
0.01,7.8,150,133.56,13234.53422
0.011,2,470,120.48,13034.75781
0.011,2.2,428,109.92,11863.36461
0.011,2.4,392,100.8,10876.58466
0.011,2.6,369,94.44,10230.53156
0.011,2.8,350,89.64,9702.629614
0.011,3,325,125.1,13547.86707
0.011,3.2,300,115.56,12488.45291
0.011,3.4,289,111.24,12010.48383
0.011,3.6,272,104.58,11327.64564
0.011,3.8,265,101.88,11036.6346
0.011,4,249,127.68,13821.83361
0.011,4.2,242,124.08,13429.04833
0.011,4.4,234,119.76,13003.65757
0.011,4.6,219,112.32,12170.60713
0.011,4.8,211,108.24,11742.59482
0.011,5,207,132.6,14358.943
0.011,5.2,198,126.9,13738.96928
0.011,5.4,191,122.4,13250.76947
0.011,5.6,189,120.9,13106.15174
0.011,5.8,179,114.6,12410.39049
0.011,6,177,135.72,14715.23567
0.011,6.2,172,132.12,14320.8603
0.011,6.4,166,127.44,13811.01092
0.011,6.6,162,124.2,13487.12949
0.011,6.8,159,122.04,13227.02832
0.011,7,155,138.6,15014.32125
0.011,7.2,144,129.36,14008.98228
0.011,7.4,142,127.26,13793.91422
0.011,7.6,139,124.74,13525.84965
0.011,7.8,134,120.12,13007.81799
0.012,2,418,107.88,12644.94228
0.012,2.2,386,99.6,11667.64953
0.012,2.4,358,92.52,10832.4577
0.012,2.6,339,87.24,10255.45811
0.012,2.8,303,78.36,9177.299023
0.012,3,295,114.3,13427.83118
0.012,3.2,277,107.1,12597.9205
0.012,3.4,269,103.86,12216.05117
0.012,3.6,248,96.12,11255.73984
0.012,3.8,234,90.72,10630.96236
0.012,4,222,114.72,13416.27985
0.012,4.2,218,112.56,13198.03966
0.012,4.4,210,108.24,12711.26541
0.012,4.6,202,104.16,12246.64225
0.012,4.8,190,98.16,11516.89969
0.012,5,187,120.6,14117.00762
0.012,5.2,182,117.3,13786.55336
0.012,5.4,179,115.2,13540.95278
0.012,5.6,167,107.7,12636.01589
0.012,5.8,163,105,12336.05823
0.012,6,163,125.64,14792.22538
0.012,6.2,155,119.88,14074.33537
0.012,6.4,149,115.2,13503.77064
0.012,6.6,144,111.24,13062.08596
0.012,6.8,139,107.64,12614.29169
0.012,7,135,121.8,14258.4985
0.012,7.2,137,123.48,14524.73146
0.012,7.4,136,122.22,14393.34451
0.012,7.6,135,121.38,14314.92763
0.012,7.8,125,112.56,13254.94128
0.013,2,387,100.44,12686.86087
0.013,2.2,352,91.44,11542.71003
0.013,2.4,325,84.48,10653.75592
0.013,2.6,302,78.36,9899.926836
0.013,2.8,280,72.84,9185.822499
0.013,3,263,102.6,12962.3247
0.013,3.2,252,98.1,12407.37245
0.013,3.4,236,91.98,11602.79377
0.013,3.6,225,87.66,11059.39057
0.013,3.8,214,83.34,10527.5335
0.013,4,200,104.16,13104.17824
0.013,4.2,195,101.52,12798.53236
0.013,4.4,190,98.64,12458.34753
0.013,4.6,182,94.56,11969.60348
0.013,4.8,175,90.96,11494.52326
0.013,5,163,106.2,13338.34212
0.013,5.2,159,103.5,13028.89456
0.013,5.4,159,103.2,13062.3917
0.013,5.6,156,101.1,12813.59495
0.013,5.8,146,94.8,11973.34405
0.013,6,145,112.68,14260.96496
0.013,6.2,136,106.2,13404.56298
0.013,6.4,139,108,13669.39264
0.013,6.6,136,105.48,13337.82155
0.013,6.8,132,102.6,12973.5006
0.013,7,125,113.4,14322.32995
0.013,7.2,123,111.72,14142.93222
0.013,7.4,121,109.62,13857.81978
0.013,7.6,118,107.1,13530.4489
0.013,7.8,110,99.96,12596.48014
