day,12:15pm-15:30pm,9am-12:15pm,LtoC time,Largest_Time_Slot
2020-04-07,5.390010000000075,6.070060000000012,4.290030000000115,9am-12:15pm
2020-04-08,5.3699900000001435,6.969970000000103,3.8900099999998474,9am-12:15pm
2020-04-09,6.510009999999966,4.984989999999925,7.730099999999993,LtoC time
2020-04-10,4.539919999999938,5.6300099999998565,2.5799600000000282,9am-12:15pm
2020-04-13,3.2700199999999313,5.589969999999994,2.819949999999835,9am-12:15pm
2020-04-14,2.8100600000000213,4.880010000000084,3.494999999999891,9am-12:15pm
2020-04-15,5.619989999999916,4.699949999999944,2.0849600000001374,12:15pm-15:30pm
2020-04-16,2.410030000000006,5.3099399999998695,3.394900000000007,9am-12:15pm
2020-04-17,3.9200399999999718,10.72497999999996,1.9000300000000152,9am-12:15pm
2020-04-20,3.050040000000081,6.7550099999998565,3.700070000000096,9am-12:15pm
2020-04-21,6.229980000000069,20.510009999999966,3.4399499999999534,9am-12:15pm
2020-04-22,5.450070000000096,5.140019999999822,4.295039999999972,12:15pm-15:30pm
2020-04-23,5.95995999999991,8.040030000000115,2.719970000000103,9am-12:15pm
2020-04-24,2.8150600000001305,4.270020000000159,1.9799799999998413,9am-12:15pm
2020-04-27,5.729979999999841,4.5,2.0699500000000626,12:15pm-15:30pm
2020-04-28,3.2199799999998504,5.25,2.79004000000009,9am-12:15pm
2020-04-29,2.0999799999999595,5.379999999999882,5.004999999999882,9am-12:15pm
2020-04-30,5.075070000000096,4.634890000000041,5.319940000000088,LtoC time
2020-05-01,3.9499499999999443,7.570069999999987,1.929930000000013,9am-12:15pm
2020-05-04,3.9600800000000618,3.9200499999999465,1.5599399999998695,12:15pm-15:30pm
2020-05-05,2.4099099999998543,5.0999799999999595,3.160030000000006,9am-12:15pm
2020-05-06,3.089969999999994,4.354979999999841,2.660039999999981,9am-12:15pm
2020-05-07,2.099969999999985,3.75,6.109989999999925,LtoC time
2020-05-08,2.5349099999998543,5.145019999999931,4.6700499999999465,9am-12:15pm
2020-05-11,4.450070000000096,5.395019999999931,2.225089999999909,9am-12:15pm
2020-05-12,2.6999499999999443,4.834969999999885,3.4899900000000343,9am-12:15pm
2020-05-13,2.869989999999916,3.4400600000001305,4.169920000000047,LtoC time
2020-05-14,1.8350800000000618,2.8299500000000535,3.8850099999999657,LtoC time
2020-05-15,2.3000500000000557,3.1999499999999443,3.269900000000007,LtoC time
2020-05-18,3.3701200000000426,4.090090000000146,4.320060000000012,LtoC time
2020-05-19,2.450070000000096,4.319950000000063,2.125,9am-12:15pm
2020-05-20,3.780029999999897,3.8400900000001457,2.854989999999816,9am-12:15pm
2020-05-21,2.3998999999998887,6.489990000000034,3.380000000000109,9am-12:15pm
2020-05-22,2.7399900000000343,2.9700900000000274,2.1400200000000495,9am-12:15pm
2020-05-25,2.4749799999999595,4.870000000000118,1.2000700000000961,9am-12:15pm
2020-05-26,3.5999799999999595,5.895019999999931,2.600089999999909,9am-12:15pm
2020-05-27,2.0,3.724969999999985,1.8299500000000535,9am-12:15pm
2020-05-28,4.16504000000009,2.929930000000013,2.1149900000000343,12:15pm-15:30pm
2020-05-29,3.4349399999998695,3.5500500000000557,2.5,9am-12:15pm
2020-06-01,4.050050000000056,5.135009999999966,4.395010000000184,9am-12:15pm
2020-06-02,1.800040000000081,4.320060000000012,4.5,LtoC time
2020-06-03,1.7550000000001091,5.795039999999972,4.8499799999999595,9am-12:15pm
2020-06-04,2.714969999999994,3.880010000000084,5.704960000000028,LtoC time
2020-06-05,6.244999999999891,5.200070000000096,5.34497999999985,12:15pm-15:30pm
2020-06-08,3.2949200000000474,4.714960000000019,3.6899499999999534,9am-12:15pm
2020-06-09,2.8000500000000557,4.439949999999953,3.434940000000097,9am-12:15pm
2020-06-10,3.6999499999999443,8.489990000000034,2.8950199999999313,9am-12:15pm
2020-06-11,8.299929999999904,5.285030000000006,3.380010000000084,12:15pm-15:30pm
