"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 07- 09","555.84","554.02","556.44","552.98","309.65K","0.17%"
"2014- 07- 08","554.90","553.47","555.26","552.34","321.59K","0.32%"
"2014- 07- 07","553.15","554.56","554.59","550.97","305.10K","0.05%"
"2014- 07- 04","552.90","553.65","553.75","551.29","348.30K","0.40%"
"2014- 07- 03","550.68","549.21","551.01","548.93","280.04K","0.30%"
"2014- 07- 02","549.03","547.98","549.18","547.15","269.15K","0.76%"
"2014- 07- 01","544.90","538.44","544.91","537.75","244.17K","1.46%"
"2014- 06- 30","537.06","533.77","537.07","533.63","217.63K","1.06%"
"2014- 06- 27","531.43","531.36","532.27","529.75","223.48K","0.26%"
"2014- 06- 26","530.04","529.64","531.57","529.64","226.10K","0.53%"
"2014- 06- 25","527.26","529.80","530.98","527.23","237.21K","-0.42%"
"2014- 06- 24","529.49","531.14","531.56","524.71","276.11K","-0.09%"
"2014- 06- 23","529.96","537.90","538.44","529.96","263.80K","-1.25%"
"2014- 06- 20","536.69","537.79","538.40","535.51","247.60K","-0.02%"
"2014- 06- 19","536.79","539.14","539.92","535.47","283.51K","-0.05%"
"2014- 06- 18","537.05","539.40","539.68","537.03","289.64K","-0.16%"
"2014- 06- 17","537.90","537.32","539.12","537.13","300.97K","0.35%"
"2014- 06- 16","536.02","537.66","537.71","535.43","247.38K","-0.06%"
"2014- 06- 13","536.34","536.59","536.74","533.98","267.53K","0.04%"
"2014- 06- 12","536.14","534.39","536.64","533.85","244.38K","0.53%"
"2014- 06- 11","533.30","533.99","534.32","532.26","235.53K","0.12%"
"2014- 06- 10","532.64","525.27","532.65","525.27","238.61K","1.64%"
"2014- 06- 09","524.03","525.16","526.67","520.89","231.80K","0.17%"
"2014- 06- 05","523.12","531.45","531.96","522.06","260.96K","-1.54%"
"2014- 06- 03","531.28","535.19","535.43","526.65","271.35K","-0.72%"
"2014- 06- 02","535.15","546.81","546.82","535.07","303.75K","-2.08%"
"2014- 05- 30","546.53","551.07","551.07","546.31","339.72K","-0.56%"
"2014- 05- 29","549.61","551.06","551.17","548.91","307.09K","-0.06%"
"2014- 05- 28","549.96","550.36","550.37","548.54","375.91K","0.36%"
"2014- 05- 27","547.97","550.66","550.78","543.15","349.13K","-0.16%"
"2014- 05- 26","548.83","552.35","552.60","548.83","307.96K","-0.16%"
"2014- 05- 23","549.70","549.10","550.07","548.63","279.28K","0.54%"
"2014- 05- 22","546.75","548.58","549.15","546.24","314.63K","0.21%"
"2014- 05- 21","545.59","542.88","547.05","542.72","282.14K","0.48%"
"2014- 05- 20","542.96","548.09","548.73","538.65","406.84K","-0.70%"
"2014- 05- 19","546.81","559.57","559.62","546.24","387.92K","-1.93%"
"2014- 05- 16","557.59","561.50","561.54","556.62","393.24K","-0.74%"
"2014- 05- 15","561.75","561.69","562.77","560.62","433.22K","0.26%"
"2014- 05- 14","560.30","559.15","560.35","557.85","366.36K","0.56%"
"2014- 05- 13","557.16","554.45","557.44","554.41","334.97K","1.04%"
"2014- 05- 12","551.40","551.85","551.99","550.52","345.01K","0.22%"
"2014- 05- 09","550.19","548.94","550.39","547.30","291.44K","0.60%"
"2014- 05- 08","546.89","552.00","552.28","543.81","324.84K","-0.63%"
"2014- 05- 07","550.35","559.09","559.15","550.34","289.23K","-1.49%"
"2014- 05- 02","558.66","561.68","562.06","558.08","291.65K","-0.12%"
"2014- 04- 30","559.34","560.04","561.73","559.08","309.99K","0.43%"
"2014- 04- 29","556.97","559.87","560.55","555.81","337.01K","0.00%"
"2014- 04- 28","556.96","555.68","558.56","555.68","282.64K","0.09%"
"2014- 04- 25","556.48","561.94","562.30","555.50","314.13K","-0.83%"
"2014- 04- 24","561.12","567.73","567.93","555.07","401.55K","-0.77%"
"2014- 04- 23","565.47","573.68","573.88","565.47","370.97K","-0.97%"
"2014- 04- 22","570.98","570.76","571.16","569.38","335.43K","0.30%"
"2014- 04- 21","569.28","573.05","573.06","569.28","339.21K","-0.34%"
"2014- 04- 18","571.23","568.00","571.61","567.77","350.59K","0.97%"
"2014- 04- 17","565.75","568.80","569.03","565.75","386.34K","-0.04%"
"2014- 04- 16","565.96","564.45","566.25","562.81","385.31K","0.68%"
"2014- 04- 15","562.11","565.13","565.18","562.01","361.93K","0.01%"
"2014- 04- 14","562.04","557.35","562.05","557.32","281.99K","1.11%"
"2014- 04- 11","555.87","548.50","555.88","548.44","302.35K","0.14%"
